"Reference","ID","CommonControl","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","guild","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","RR","var","Long_i","Lat_i","logmass","Island_km2","Dist_near_mainland","NDVI","SDNDVI","tmean","tseas","prec","Phylogeny","Data_source_type"
"Clover 1979, Stamenkovic and Matic 2013","ES273","CC125","Croatia, Montenegro","Vrtlic","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis kornatica","Carnivorous","Male","SVL",3.64302219174754,4.69761002603179,0.570030377043391,0.348506453213299,70,14,0.254240264662578,0.000742896543852315,15.546,43.692,0.561461816787935,-2.39794000867204,1.1553664066467,0.380555908203125,-1.71671268091284,15.7092914581299,2.7655142579932,2.83927687573055,"Conspecific","Island rule"
"Clover 1979, Stamenkovic and Matic 2013","ES274","CC125","Croatia, Montenegro","Bisevo","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis lissana","Carnivorous","Male","SVL",3.64302219174754,2.76790030338338,0.570030377043391,0.552787614782048,70,14,-0.274724590078283,0.00319873212405107,16.01,42.975,0.561461816787935,0.763427993562937,1.73240180223891,0.57154384765625,-1.82218121496019,16.0975685119629,2.77188465487129,2.73399928653839,"Conspecific","Island rule"
"Clover 1979, Stamenkovic and Matic 2013","ES275","CC125","Croatia, Montenegro","Grebeni","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis lissana","Carnivorous","Male","SVL",3.64302219174754,5.65632331440237,0.570030377043391,0.362168117193436,70,15,0.439960480423144,0.000623076642506892,16.266,43.05,0.561461816787935,-1.34008379993015,1.68395612226261,0.55171591796875,-1.97029125873981,16.4154796600342,2.78787120718452,2.79379038469082,"Conspecific","Island rule"
"Clover 1979, Stamenkovic and Matic 2013","ES276","CC125","Croatia, Montenegro","Lastovo","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis lissana","Carnivorous","Male","SVL",3.64302219174754,5.58057011843065,0.570030377043391,0.376141368276576,70,31,0.426477333314553,0.000496312542766485,16.873,42.751,0.561461816787935,1.72181061521255,1.70757869159253,0.627160888671875,-1.93996641421781,16.2385768890381,2.78195341080606,2.81378107003429,"Conspecific","Island rule"
"Clover 1979, Stamenkovic and Matic 2013","ES277","CC125","Croatia, Montenegro","Pod Mrcaru","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis lissana","Carnivorous","Male","SVL",3.64302219174754,5.26380100225143,0.570030377043391,0.29842634958488,70,15,0.368039780163528,0.000564044610411326,16.774,42.779,0.561461816787935,-1.83564714421556,1.49763445860728,0.710950439453125,-1.71962321750501,16.51123046875,2.76538725059187,2.79761373015308,"Conspecific","Island rule"
"Clover 1979, Stamenkovic and Matic 2013","ES278","CC125","Croatia, Montenegro","Vis","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis lissana","Carnivorous","Male","SVL",3.64302219174754,3.52983115299187,0.570030377043391,0.61861786647349,70,8,-0.0315635718336699,0.00418901933216273,16.1485,43.04,0.561461816787935,1.95438725014451,1.64346254670316,0.6200751953125,-2.04242929709057,15.9367341995239,2.77060942519825,2.77735433078815,"Conspecific","Island rule"
"Clover 1979, Stamenkovic and Matic 2013","ES279","CC125","Croatia, Montenegro","Brusnik","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis melisellensis","Carnivorous","Male","SVL",3.64302219174754,5.52340628760304,0.570030377043391,0.431683695293247,70,20,0.416181141439015,0.000655176228240164,15.8,43.006,0.561461816787935,-1.2839966563652,1.75282410416787,0.509038671875,-1.8486727186739,15.2380743026733,2.79700619476133,2.87219583610254,"Conspecific","Island rule"
"Clover 1979, Stamenkovic and Matic 2013","ES280","CC125","Croatia, Montenegro","Mikavica","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis mikavicae","Carnivorous","Male","SVL",3.64302219174754,4.23930798871867,0.570030377043391,0.392492390955528,70,12,0.151586436094517,0.00106408088500229,15.615,43.679,0.561461816787935,-2.22184874961636,1.05694294567288,0.513739111328125,-2.0361624024167,15.7300939559937,2.76755297576536,2.83562083446118,"Conspecific","Island rule"
"Clover 1979, Stamenkovic and Matic 2013","ES281","CC125","Croatia, Montenegro","Jabuka","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis pomoensis","Carnivorous","Male","SVL",3.64302219174754,5.98391289850399,0.570030377043391,0.980890541110678,70,8,0.496261075213704,0.00370853579977682,15.458,43.075,0.561461816787935,-2,1.79934744296208,0.509038671875,-1.8486727186739,15.2380743026733,2.79700619476133,2.87219583610254,"Conspecific","Island rule"
"Clover 1979, Stamenkovic and Matic 2013","ES282","CC125","Croatia, Montenegro","Veli Puh","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis thetidis","Carnivorous","Male","SVL",3.64302219174754,6.32380591200385,0.570030377043391,0.214149285211753,70,20,0.551507618553526,0.000407101854159946,15.512,43.677,0.561461816787935,-1.88605664769316,1.23327539129394,0.380555908203125,-1.71671268091284,15.7092914581299,2.7655142579932,2.83927687573055,"Conspecific","Island rule"
"Clover 1979, Stamenkovic and Matic 2013","ES283","CC125","Croatia, Montenegro","Ciovo","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis traguriana","Carnivorous","Male","SVL",3.64302219174754,2.78463727423527,0.570030377043391,0.699057614497307,70,10,-0.268695987368742,0.00665191251742105,16.305,43.499,0.561461816787935,1.45939248775923,-0.696803942579511,0.529269677734375,-1.99644476351345,16.1834087371826,2.79549929148839,2.87620627877291,"Conspecific","Island rule"
"Clover 1979, Stamenkovic and Matic 2013","ES284","CC125","Croatia, Montenegro","Krpeljina","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis undescribed","Carnivorous","Male","SVL",3.64302219174754,5.03716935876408,0.570030377043391,0.230162479715147,70,12,0.32403067952006,0.000523749531619848,15.406,43.754,0.561461816787935,-1.89962945488244,1.23047446736116,0.348023657226563,-1.65124768654301,15.5128860473633,2.7455207517071,2.85272392567455,"Conspecific","Island rule"
"Clover 1979, Stamenkovic and Matic 2013","ES285","CC125","Croatia, Montenegro","Mrvenjak","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis undescribed","Carnivorous","Male","SVL",3.64302219174754,4.81708474066632,0.570030377043391,0.378835138926978,70,26,0.279355309872576,0.000587643732754956,15.516,43.83,0.561461816787935,-0.193820026016113,0.643551368562945,0.526785595703125,-1.9279769993575,15.3282613754272,2.79353908992776,2.87976085223322,"Conspecific","Island rule"
"Clover 1979, Stamenkovic and Matic 2013","ES286","CC125","Croatia, Montenegro","Svetac","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis undescribed","Carnivorous","Male","SVL",3.64302219174754,4.53366108469413,0.570030377043391,0.287863947765181,70,17,0.218716189933556,0.000586915774607796,15.747,43.025,0.561461816787935,0.662757831681574,1.73480782757196,0.626943408203125,-1.60018349560293,15.720555305481,2.76128683532199,2.71808629478309,"Conspecific","Island rule"
"Clover 1979, Stamenkovic and Matic 2013","ES287","CC125","Croatia, Montenegro","Tajan","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis undescribed","Carnivorous","Male","SVL",3.64302219174754,5.98391289850399,0.570030377043391,0.277427394853477,70,12,0.496261075213704,0.000528884540140968,17.798,42.7578,0.561461816787935,-1.88605664769316,0.431524584187451,0.6983404296875,-1.8737856143945,16.2168025970459,2.79200168711858,3.00550225185563,"Conspecific","Island rule"
"Clover 1979, Stamenkovic and Matic 2013","ES288","CC125","Croatia, Montenegro","Vodeni Puh","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis undescribed","Carnivorous","Male","SVL",3.64302219174754,6.79651723151409,0.570030377043391,0.575294942733893,70,12,0.623596699519849,0.000946835806579619,15.518,43.676,0.561461816787935,-2.04575749056068,1.23047446736116,0.380555908203125,-1.71671268091284,15.7092914581299,2.7655142579932,2.83927687573055,"Conspecific","Island rule"
"Clover 1979, Stamenkovic and Matic 2013","ES289","CC125","Croatia, Montenegro","Zirje","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis undescribed","Carnivorous","Male","SVL",3.64302219174754,1.64560334388868,0.570030377043391,0.408711679288255,70,10,-0.79470651824879,0.00651832309758533,15.6628,43.649,0.561461816787935,1.1846914308176,1.04143216468027,0.513739111328125,-2.0361624024167,15.7300939559937,2.76755297576536,2.83562083446118,"Conspecific","Island rule"
"Clover 1979, Stamenkovic and Matic 2013","ES290","CC125","Croatia, Montenegro","Planac","Reptiles","Squamata","Lacertidae","Podarcis melisellensis","Podarcis melisellensis","Podarcis melisellensis var. imitans","Carnivorous","Male","SVL",3.64302219174754,3.87383775989541,0.570030377043391,0.185138341116169,70,14,0.0614320752649642,0.000512911405033901,15.426,43.937,0.561461816787935,-1.30102999566398,-0.0550240915879521,0.557194873046875,-1.895921327481,14.8561773300171,2.81092058620211,2.90355659485528,"Conspecific","Island rule"
"Uller et al. 2019","ES291","CC126","France","Bananec","Reptiles","Squamata","Lacertidae","Podarcis muralis","Podarcis muralis","Podarcis muralis","Carnivorous","Both","Weight",4.70545454545455,5.19881355932203,0.407101582611262,1.52006531704688,77,59,0.0997080604914322,0.00154619554323092,-3.991,47.7128,0.672601582502419,-1.52287874528034,1.10724389757897,0.384717846679688,-1.09686521809696,12.4887914657593,2.54656084916675,2.98077577950401,"Conspecific","Island rule"
"Uller et al. 2019","ES292","CC126","France","Bas de voile","Reptiles","Squamata","Lacertidae","Podarcis muralis","Podarcis muralis","Podarcis muralis","Carnivorous","Both","Weight",4.70545454545455,6.80761904761905,0.407101582611262,1.60667680902651,77,63,0.369320055733474,0.000981360289384439,-4.01,47.717,0.672601582502419,-1,1.14615905560482,0.428256494140625,-1.16292420893036,11.9824333190918,2.59072919504242,3.01074734628505,"Conspecific","Island rule"
"Uller et al. 2019","ES293","CC126","France","Belle ile","Reptiles","Squamata","Lacertidae","Podarcis muralis","Podarcis muralis","Podarcis muralis","Carnivorous","Both","Weight",4.70545454545455,4.96195020746888,0.407101582611262,1.1778396244157,77,241,0.0530764730545053,0.000331013380338786,-3.188,47.334,0.672601582502419,1.93262594402178,1.11397675828985,0.63315283203125,-1.86895972608241,12.4045915603638,2.59382196672166,2.95248731063285,"Conspecific","Island rule"
"Uller et al. 2019","ES294","CC126","France","Cigogne","Reptiles","Squamata","Lacertidae","Podarcis muralis","Podarcis muralis","Podarcis muralis","Carnivorous","Both","Weight",4.70545454545455,5.86102040816326,0.407101582611262,1.75550710254184,77,49,0.219601342121468,0.00192810177755372,-3.9937,47.7168,0.672601582502419,-1.69897000433602,1.12388429346001,0.384717846679688,-1.09686521809696,12.4887914657593,2.54656084916675,2.98077577950401,"Conspecific","Island rule"
"Uller et al. 2019","ES295","CC126","France","Guootec","Reptiles","Squamata","Lacertidae","Podarcis muralis","Podarcis muralis","Podarcis muralis","Carnivorous","Both","Weight",4.70545454545455,7.86380952380952,0.407101582611262,1.23708720869014,77,21,0.513548783871583,0.00127567158103672,-3.9661,47.7129,0.672601582502419,-1.05551732784983,1.08102308645133,0.384717846679688,-1.09686521809696,12.4887914657593,2.54656084916675,2.98077577950401,"Conspecific","Island rule"
"Uller et al. 2019","ES296","CC126","France","Loch","Reptiles","Squamata","Lacertidae","Podarcis muralis","Podarcis muralis","Podarcis muralis","Carnivorous","Both","Weight",4.70545454545455,5.88671641791045,0.407101582611262,1.30825339040808,77,67,0.223975980591381,0.000834371769517027,-3.996,47.704,0.672601582502419,-0.370590400897281,1.14832496303882,0.384717846679688,-1.09686521809696,12.4887914657593,2.54656084916675,2.98077577950401,"Conspecific","Island rule"
"Uller et al. 2019","ES297","CC126","France","Penfret Somaphore","Reptiles","Squamata","Lacertidae","Podarcis muralis","Podarcis muralis","Podarcis muralis","Carnivorous","Both","Weight",4.70545454545455,6.00946666666667,0.407101582611262,1.48173965810949,77,75,0.244613626227883,0.000907817793037156,-3.9559,47.718,0.672601582502419,-0.405607449624573,1.02942436405802,0.384717846679688,-1.09686521809696,12.4887914657593,2.54656084916675,2.98077577950401,"Conspecific","Island rule"
"Uller et al. 2019","ES298","CC126","France","Saint Nicolas","Reptiles","Squamata","Lacertidae","Podarcis muralis","Podarcis muralis","Podarcis muralis","Carnivorous","Both","Weight",4.70545454545455,6.48791666666667,0.407101582611262,1.9486968831128,77,72,0.321219095111113,0.00135019426356797,-3.999,47.7239,0.672601582502419,-0.452225294612177,1.11397675828985,0.384717846679688,-1.09686521809696,12.4887914657593,2.54656084916675,2.98077577950401,"Conspecific","Island rule"
"Uller et al. 2019","ES299","CC126","France","Yeu","Reptiles","Squamata","Lacertidae","Podarcis muralis","Podarcis muralis","Podarcis muralis","Carnivorous","Both","Weight",4.70545454545455,4.91512605042017,0.407101582611262,1.33265598864742,77,476,0.0435950219431755,0.000251650183417299,-2.3533,46.7096,0.672601582502419,1.36772854608698,1.23807120613056,0.44063564453125,-1.66835340996794,12.7811040878296,2.63525650444567,2.9081095338419,"Conspecific","Island rule"
"Bejakovic et al. 1995","ES300","CC127","Lake Skadar, Montenegro (Bistrica)","Mali Starcevo","Reptiles","Squamata","Lacertidae","Podarcis muralis","Podarcis muralis","Podarcis muralis","Carnivorous","Female","SVL",6.51607148981601,9.62233497751378,0.356310273938226,0.297093946282534,19,5,0.389815294274623,0.000348032142306108,19.211,42.188,0.813985840440384,-1.04575749056068,-0.404503778174426,0.423926513671875,-1.70682131489205,14.065806388855,2.84066939071373,3.17626493504838,"Conspecific","No island rule"
"Bejakovic et al. 1995","ES301","CC127","Lake Skadar, Montenegro (Bistrica)","Malo Besko","Reptiles","Squamata","Lacertidae","Podarcis muralis","Podarcis muralis","Podarcis muralis","Carnivorous","Female","SVL",6.51607148981601,8.73349761858579,0.356310273938226,0.497898901364374,19,18,0.292894271104203,0.000337938365323343,19.235,42.157,0.813985840440384,-1.76955107862173,-0.343901797987168,0.423926513671875,-1.70682131489205,14.065806388855,2.84066939071373,3.17626493504838,"Conspecific","No island rule"
"Faraone 2011, Capula et al 2014","ES302","CC128","Vulcano","Scoglio Faraglione","Reptiles","Squamata","Lacertidae","Podarcis raffoneae","Podarcis raffonei","Podarcis raffonei","Carnivorous","Both","SVL",5.96803615607928,7.48816978730993,0.515003519307208,0.512571067909025,49,37,0.226906492298172,0.000278606633986145,14.8,38.579,0.775831445553445,-2.30980391997149,-0.480172006224281,0.590112890625,-1.99575733489444,17.1169395446777,2.71296854463617,2.79899573444388,"Conspecific","No island rule"
"Faraone 2011, Capula et al 2014","ES303","CC128","Vulcano","Strombolicchio","Reptiles","Squamata","Lacertidae","Podarcis raffoneae","Podarcis raffonei","Podarcis raffonei","Carnivorous","Both","SVL",5.96803615607928,11.8533150803438,0.515003519307208,0.893179210824332,49,39,0.686189660865521,0.000297561715244353,15.252,38.817,0.775831445553445,-2.11918640771921,0.17638069224327,0.444193896484375,-1.2756973239131,16.512092590332,2.74371048430084,2.88990028483521,"Conspecific","No island rule"
"Raia et al. 2010","ES304","CC129","Italy","Licosa","Reptiles","Squamata","Lacertidae","Podarcis siculus","Podarcis sicula","Podarcis sicula klemmeri","Omnivorous","Both","SVL",8.65570474132742,10.7379878151784,1.27784588893824,1.07398936494235,39,51,0.215569106029182,0.00075498804216321,14.9,40.251,0.937302433598995,-2.09691001300806,-0.396855627379818,0.621274755859375,-1.84780532771422,16.666524887085,2.74557956576849,2.96032805633867,"Conspecific","Island rule"
"Vogrin 2005, Radocaj et al 2011","ES305","CC130","Slovenia","Krk","Reptiles","Squamata","Lacertidae","Podarcis siculus","Podarcis sicula campestris","Podarcis siculus","Omnivorous","Both","SVL",6.28655220062776,6.56189177583474,0.506707700182413,0.662648014921788,102,26,0.0428661612209581,0.000455916865950555,14.585,45.079,0.798412526085416,2.60831204269733,-0.251037138743839,0.61695732421875,-2.06967636651763,14.0411357879639,2.82530889957225,3.07791270294946,"Conspecific","No island rule"
"Vervust et al. 2009, Stamenkovic and Matic 2013","ES306","CC131","Croatia, Montenegro","Pod Kopiste","Reptiles","Squamata","Lacertidae","Podarcis siculus","Podarcis siculus","Podarcis siculus","Omnivorous","Both","SVL",8.18985886932621,5.55602231943588,0.879635194862137,0.329246010172405,152,222,-0.38801422358289,9.17125428985996e-05,16.724,42.763,0.913276417901938,-2.10237290870956,1.55146219708474,0.710950439453125,-1.71962321750501,16.51123046875,2.76538725059187,2.79761373015308,"Conspecific","Island rule"
"Taverne et al. 2019","ES307","CC132","Croatia","Bijelac","Reptiles","Squamata","Lacertidae","Podarcis siculus","Podarcis siculus","Podarcis siculus","Omnivorous","Both","SVL",6.36921346634202,7.80637820013868,2.83947673560171,2.05342963227445,16,20,0.203465130223989,0.0158814510079696,16.679,42.7586,0.804085804655929,-2.45593195564972,0.943049111008407,0.62523525390625,-1.88001087653123,16.4580402374268,2.78291575989061,2.80480621999054,"Conspecific","Island rule"
"Taverne et al. 2019","ES308","CC132","Croatia","Kopiste","Reptiles","Squamata","Lacertidae","Podarcis siculus","Podarcis siculus","Podarcis siculus","Omnivorous","Both","SVL",6.36921346634202,6.31448468240667,2.83947673560171,1.66099433398789,16,33,-0.00862983696859363,0.0145185638775401,16.722,42.752,0.804085804655929,-0.151810883008601,1.76343548133428,0.710950439453125,-1.71962321750501,16.51123046875,2.76538725059187,2.79761373015308,"Conspecific","Island rule"
"Taverne et al. 2019","ES309","CC132","Croatia","Mala Palagruža","Reptiles","Squamata","Lacertidae","Podarcis siculus","Podarcis siculus","Podarcis siculus","Omnivorous","Both","SVL",6.36921346634202,6.52066858042976,2.83947673560171,1.71523000064967,16,20,0.0235009264032219,0.0158814510079696,16.272,42.3885,0.804085804655929,-1.46852108295774,1.71933957496727,0.62523525390625,-1.88001087653123,17.2002773284912,2.7682963079886,2.63748972951251,"Conspecific","Island rule"
"Taverne et al. 2019","ES310","CC132","Croatia","Pijavica","Reptiles","Squamata","Lacertidae","Podarcis siculus","Podarcis siculus","Podarcis siculus","Omnivorous","Both","SVL",6.36921346634202,5.81729341343399,2.83947673560171,1.53021060068139,16,25,-0.0906408829525977,0.0151895236955977,16.1905,43.4756,0.804085804655929,-2.01772876696043,0.248218561190075,0.549110693359375,-1.93272670723883,16.0821533203125,2.79274904802925,2.85003325768977,"Conspecific","Island rule"
"Taverne et al. 2019","ES311","CC132","Croatia","Pod Kopište","Reptiles","Squamata","Lacertidae","Podarcis siculus","Podarcis siculus","Podarcis siculus","Omnivorous","Both","SVL",6.36921346634202,5.16803861796952,2.83947673560171,1.35942729993389,16,37,-0.208982748319161,0.0142918882633314,16.724,42.763,0.804085804655929,-1.47366072261016,1.55146219708474,0.710950439453125,-1.71962321750501,16.51123046875,2.76538725059187,2.79761373015308,"Conspecific","Island rule"
"Taverne et al. 2019","ES312","CC132","Croatia","Pod Mr?aru","Reptiles","Squamata","Lacertidae","Podarcis siculus","Podarcis siculus","Podarcis siculus","Omnivorous","Both","SVL",6.36921346634202,6.82771110572185,2.83947673560171,1.7959960362732,16,36,0.0695135065141676,0.0143438347582542,16.7748,42.7799,0.804085804655929,-1.83564714421556,1.49763445860728,0.710950439453125,-1.71962321750501,16.51123046875,2.76538725059187,2.79761373015308,"Conspecific","Island rule"
"Taverne et al. 2019","ES313","CC132","Croatia","Sušac","Reptiles","Squamata","Lacertidae","Podarcis siculus","Podarcis siculus","Podarcis siculus","Omnivorous","Both","SVL",6.36921346634202,6.05545559088649,2.83947673560171,1.59285799745488,16,20,-0.0505163710191439,0.0158814510079696,16.513,42.767,0.804085804655929,0.603144372620182,1.67487032234227,0.54599423828125,-1.7203883083886,16.4580402374268,2.78291575989061,2.80480621999054,"Conspecific","Island rule"
"Faraone 2011","ES314","CC133","Sicily","Isola Bella","Reptiles","Squamata","Lacertidae","Podarcis siculus","Podarcis siculus","Podarcis siculus","Omnivorous","Both","SVL",8.7826549878316,8.51609676701431,0.760890674981927,0.603067342543369,333,109,-0.0308206424176924,6.85467302539211e-05,15.3,37.85,0.943625822542185,-0.698970004336019,-1.29242982390206,0.49227626953125,-1.84284392646866,18.2477474212646,2.7496818827181,2.82523783203018,"Conspecific","Island rule"
"Faraone 2011","ES315","CC133","Sicily","Isolotto delle Femmine","Reptiles","Squamata","Lacertidae","Podarcis siculus","Podarcis siculus","Podarcis siculus","Omnivorous","Both","SVL",8.7826549878316,7.28568098555297,0.760890674981927,0.381368477164592,333,45,-0.18686783930169,8.34284361179944e-05,13.236,38.21,0.943625822542185,0.146128035678238,-0.22112552799726,0.438098193359375,-1.93943488895778,17.8817119598389,2.72047121935104,2.67440181284528,"Conspecific","Island rule"
"Faraone 2011","ES316","CC133","Sicily","Mozia","Reptiles","Squamata","Lacertidae","Podarcis siculus","Podarcis siculus","Podarcis siculus","Omnivorous","Both","SVL",8.7826549878316,8.98789032896901,0.760890674981927,0.776905873260074,333,21,0.0230993999593947,0.000378336483904851,12.4687,37.866,0.943625822542185,-0.346787486224656,-0.0963674839157623,0.38381904296875,-1.92446311815493,17.9219493865967,2.72297627304292,2.67330665223254,"Conspecific","Island rule"
"Faraone 2011","ES317","CC133","Sicily","Pantelleria","Reptiles","Squamata","Lacertidae","Podarcis siculus","Podarcis siculus","Podarcis siculus","Omnivorous","Both","SVL",8.7826549878316,5.9008706937182,0.760890674981927,0.464808266432554,333,30,-0.397678837119882,0.000229360537118998,11.991,36.789,0.943625822542185,1.91907809237607,2.0000043429231,0.49215927734375,-1.81552830560934,18.0208759307861,2.71032900968847,2.66558099101795,"Conspecific","Island rule"
"Raia et al. 2010, Faraone 2011","ES318","CC134","Italy (Punta Licosa)","Sicily","Reptiles","Squamata","Lacertidae","Podarcis siculus","Podarcis siculus","Podarcis siculus","Omnivorous","Both","SVL",8.65570474132742,8.7826549878316,1.27784588893824,0.760890674981927,39,333,0.0145601411177941,0.000581379729208886,14.275,37.481,0.937302433598995,4.40585839931764,0.491501766237326,0.48783291015625,-1.7491542292963,15.4296607971191,2.76987076537853,2.70918266471766,"Conspecific","Island rule"
"Lo Cascio et al 2008","ES319","CC135","Sicily","Lampedusa","Reptiles","Squamata","Lacertidae","Podarcis siculus","Podarcis siculus","Podarcis siculus","Omnivorous","Both","SVL",8.7826549878316,8.26107024275854,0.760890674981927,0.333397382897378,333,12,-0.061224603869149,0.000158268053924922,12.5731,35.5156,0.943625822542185,1.30535136944662,2.31386932858968,0.316665649414062,-1.68387454451099,19.1458415985107,2.6923039075568,2.50487844283284,"Conspecific","No island rule"
"Clover 1979, Stamenkovic and Matic 2013","ES320","CC136","Croatia, Montenegro","Ciovo","Reptiles","Squamata","Lacertidae","Podarcis siculus","Podarcis siculus","Podarcis siculus campestris","Omnivorous","Male","SVL",9.07597855617698,8.11310164607783,0.770118382281212,0.368777347548992,76,4,-0.112150962094447,0.00061126479943071,16.305,43.499,0.957893461106132,1.45939248775923,-0.696803942579511,0.529269677734375,-1.99644476351345,16.1834087371826,2.79549929148839,2.87620627877291,"Conspecific","Island rule"
"Clover 1979, Stamenkovic and Matic 2013","ES321","CC136","Croatia, Montenegro","Sveta Katarina","Reptiles","Squamata","Lacertidae","Podarcis siculus","Podarcis siculus","Podarcis siculus campestris","Omnivorous","Male","SVL",9.07597855617698,7.64616502020208,0.770118382281212,0.492457352895334,76,11,-0.17142698662489,0.000471836482926607,15.43,43.932,0.957893461106132,-1.30102999566398,-0.0963674839157623,0.557194873046875,-1.895921327481,14.8561773300171,2.81092058620211,2.90355659485528,"Conspecific","Island rule"
"Clover 1979, Stamenkovic and Matic 2013","ES322","CC136","Croatia, Montenegro","Kopiste","Reptiles","Squamata","Lacertidae","Podarcis siculus","Podarcis siculus","Podarcis siculus cazzae","Omnivorous","Male","SVL",9.07597855617698,7.16597739119598,0.770118382281212,0.34056971068084,76,21,-0.236286740351996,0.000202293665959284,16.722,42.752,0.957893461106132,-0.151810883008601,1.76343548133428,0.710950439453125,-1.71962321750501,16.51123046875,2.76538725059187,2.79761373015308,"Conspecific","Island rule"
"Clover 1979, Stamenkovic and Matic 2013","ES323","CC136","Croatia, Montenegro","Pod Kopiste","Reptiles","Squamata","Lacertidae","Podarcis siculus","Podarcis siculus","Podarcis siculus cazzae","Omnivorous","Male","SVL",9.07597855617698,4.6034535639326,0.770118382281212,0.245385467943189,76,18,-0.67882440764684,0.00025259061874751,16.724,42.763,0.957893461106132,-1.47366072261016,1.55146219708474,0.710950439453125,-1.71962321750501,16.51123046875,2.76538725059187,2.79761373015308,"Conspecific","Island rule"
"Clover 1979, Stamenkovic and Matic 2013","ES324","CC136","Croatia, Montenegro","Susac","Reptiles","Squamata","Lacertidae","Podarcis siculus","Podarcis siculus","Podarcis siculus cazzae","Omnivorous","Male","SVL",9.07597855617698,5.95614689359777,0.770118382281212,0.459863391863739,76,26,-0.421207426572577,0.000324009198407444,16.513,42.767,0.957893461106132,0.603144372620182,1.67487032234227,0.54599423828125,-1.7203883083886,16.4580402374268,2.78291575989061,2.80480621999054,"Conspecific","Island rule"
"Clover 1979, Stamenkovic and Matic 2013","ES325","CC136","Croatia, Montenegro","Palagruza","Reptiles","Squamata","Lacertidae","Podarcis siculus","Podarcis siculus","Podarcis siculus pelagosae","Omnivorous","Male","SVL",9.07597855617698,6.26629328973163,0.770118382281212,0.511504405743209,76,12,-0.370446206252506,0.000649995473594542,16.259,42.392,0.957893461106132,-0.522878745280338,1.9609509472886,0.62523525390625,-1.88001087653123,17.2002773284912,2.7682963079886,2.63748972951251,"Conspecific","Island rule"
"Clover 1979, Stamenkovic and Matic 2013","ES326","CC136","Croatia, Montenegro","Murter","Reptiles","Squamata","Lacertidae","Podarcis siculus","Podarcis siculus","Podarcis siculus undescribed","Omnivorous","Male","SVL",9.07597855617698,8.52802232957386,0.770118382281212,1.15950136003354,76,13,-0.0622737184159643,0.00151674542947633,15.616,43.797,0.957893461106132,1.26951294421792,-1.38721614328026,0.543253271484375,-1.96427459918788,15.5757465362549,2.77841999472284,2.85448821763293,"Conspecific","Island rule"
"Chondropoulos and Lykakis 1983","ES327","CC137","Epirus","Corfu","Reptiles","Squamata","Lacertidae","Podarcis taurica","Podarcis taurica","Podarcis taurica","Carnivorous","Female","Weight",4.1,3.4,0.794,0.4,7,16,-0.187211542088146,0.00622271315916926,19.784,39.677,0.612783856719735,2.76737852411418,0.398113691730502,0.6899859375,-1.96260566454728,15.960033416748,2.76354543214018,3.03430751000149,"Conspecific","No island rule"
"Chondropoulos and Lykakis 1983","ES328","CC138","West Peloponeso","Ithaca","Reptiles","Squamata","Lacertidae","Podarcis taurica","Podarcis taurica","Podarcis taurica","Carnivorous","Female","Weight",5.5,3.6,0.849,0.632,8,10,-0.423814246776361,0.00606049183756759,20.669,38.424,0.740362689494244,2.07114529045108,1.46539772429244,0.6589939453125,-2.00193552412315,16.313756942749,2.74237229324003,2.95033076806697,"Conspecific","No island rule"
