"Reference","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","Diet","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","Mean_m_male","Mean_m_female","sd_m_male","sd_m_female","N_m_male","N_m_female","Mean_i_male","Mean_i_female","sd_i_male","sd_i_female","N_i_male","N_i_female","Long_i","Lat_i","Island_km2","Dist_near_mainland","Allometry","Phylogeny","Data_source_type","Paired"
"Higgins and Peter 2002","NSW & Vic, Australia","Tasmania","Birds","Passeriformes","Petroicidae","Petroica rodinogaster","Petroica rodinogaster inexpectata ","Petroica rodinogaster rodinogaster ","","Male","Weight",9.3,9.8,0.69,0.65,11,7,9.3,NA,0.69,NA,11,NA,9.8,NA,0.65,NA,7,NA,146.5,-42.1,63558.9893,240,"Weight","Conspecific","No island rule","Yes"
"Case 2002","Baja California","Angel de la Guarda","Reptiles","Squamata","Phrynosomatidae","Petrosaurus mearnsi","Petrosaurus mearnsi mearnsi","Petrosaurus mearnsi slevini","","Both","SVL",73.6,90.3,NA,NA,55,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-113.401,29.287,930.07,12.12,"LOG10(Weight, g)= LOG10(SVL, mm)*2.677-3.855, Feldman et al 2015","Conspecific","Island rule","Yes"
"Case 2002","Baja California","Mejia","Reptiles","Squamata","Phrynosomatidae","Petrosaurus mearnsi","Petrosaurus mearnsi mearnsi","Petrosaurus mearnsi slevini","","Both","SVL",73.6,91.2,NA,NA,55,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-113.571,29.557,2.45,27,"LOG10(Weight, g)= LOG10(SVL, mm)*2.677-3.855, Feldman et al 2015","Conspecific","Island rule","Yes"
"Case 2002","Baja California Middle","Danzante","Reptiles","Squamata","Phrynosomatidae","Petrosaurus thalassinus","Petrosaurus thalassinus repens","Petrosaurus thalassinus repens","","Both","SVL",106.5,84.4,NA,NA,21,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-111.251,25.786,4.9,2,"LOG10(Weight, g)= LOG10(SVL, mm)*2.677-3.855, Feldman et al 2015","Conspecific","Island rule","Yes"
"Case 2002","Baja California Sur","Espiritu Santo","Reptiles","Squamata","Phrynosomatidae","Petrosaurus thalassinus","Petrosaurus thalassinus thalassinus","Petrosaurus thalassinus thalassinus","","Both","SVL",107,103.4,NA,NA,17,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-110.342,24.482,84.08,6.15,"LOG10(Weight, g)= LOG10(SVL, mm)*2.677-3.855, Feldman et al 2015","Conspecific","Island rule","Yes"
"Higgins & Davies, 1996","e & c Australia","Tasmania","Birds","Columbiformes","Columbidae","Phaps chalcoptera","Phaps chalcoptera","Phaps chalcoptera","","Male","Wing Length",201.3,207.5,7.35,4.76,67,6,201.3,NA,7.35,NA,67,NA,207.5,NA,4.76,NA,6,NA,146.5,-42.1,63558.9893,240,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Higgins and Davies 1996","Australia","Tasmania","Birds","Columbiformes","Columbidae","Phaps elegans","Phaps elegans","Phaps elegans","","Both","Weight",211.35,204.85,18.946,23.355,48,14,219,203.7,21.9,15.76,23,25,223.8,185.9,20.09,31.16,10,4,146.75,-42,68401,200,"Weight","Conspecific","No island rule","Yes"
"Grant 1965","Nayarit (Mexico)","Tres Marias","Birds","Passeriformes","Troglodytidae","Pheugopedius felix","Thryothorus felix","Thryothorus felix","","Both","Wing Length",55.215,58.545,1.624,2.391,55,70,56.89,53.54,1.521,1.824,37,18,59.41,57.68,2.398,2.381,42,28,-106.552,21.609,145.282,87,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Grant 1966b, Stager 1957","Mexico","Maria Cleofas","Birds","Passeriformes","Troglodytidae","Pheugopedius felix","Pheugopedius felix","Thryothorus felix lawrencii","","Both","Wing Length",57,58.65,1.329,1.299,21,4,NA,NA,NA,NA,NA,NA,62,55.3,NA,1.299468399,1,3,-106.558,21.61,200,100,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Jenkins and Veitch 1991, Higgins, Peter and Cowling 2006","North island, NZ","Cuvier","Birds","Passeriformes","Callaeidae","Philesturnus carunculatus","Philesturnus carunculatus rufusater","Philesturnus carunculatus rufusater","","Male","Weight",72.8,80.7,12.97,4.6,4,138,72.8,NA,12.97,NA,4,NA,80.7,NA,4.6,NA,138,NA,175.77,-36.44,1.8,40,"Weight","Conspecific","No island rule","No"
"Myers et al. 2010","S Australia","Kangaroo","Birds","Passeriformes","Meliphagidae","Phylidonyris novaehollandiae","Phylidonyris novaehollandiae","Phylidonyris novaehollandiae","","Both","Weight",20.795,19.47,1.925,1.311,291,81,21.96,19.63,1.98,1.83,175,116,20.71,18.23,1.44,1.11,47,34,137.207,-35.819,4405,13.5,"Weight","Conspecific","Island rule","Yes"
"Keast 1968","Australia","Kangaroo","Birds","Passeriformes","Meliphagidae","Phylidonyris novaehollandiae","Phylidonyris novaehollandiae","Phylidonyris novaehollandiae","","Male","Bill length",16,17.8,0.386,0.707,8,9,16,NA,0.386371619,NA,8,NA,17.8,NA,0.707070707,NA,9,NA,137.207,-35.819,4405,13.5,"log10(mass,g) = -0.868+ 1.922*log10(bill mm), R2 = 0.53","Conspecific","No island rule","Yes"
"Lane 1983, Higgins, Peter and Steele 2001","N Ryde, Australia","Kangaroo","Birds","Passeriformes","Meliphagidae","Phylidonyris novaehollandiae","Phylidonyris novaehollandiae novaehollandiae ","Phylidonyris novaehollandiae campbelli","","Male","Weight",22.3,21.2,1.2,0.87,38,4,22.3,NA,1.2,NA,38,NA,21.2,NA,0.87,NA,4,NA,137.207,-35.819,4405,13.5,"Weight","Conspecific","No island rule","No"
"Ford 1976","s Australia","Kangaroo","Birds","Passeriformes","Meliphagidae","Phylidonyris pyrrhopterus","Phylidonyris pyrrhoptera halmaturina","Phylidonyris pyrrhoptera halmaturina","","Both","Weight",14.15,13.3,1.608,1.392,51,29,15.4,12.9,1.81,1.18,32,19,14.7,11.9,1.35,1.43,14,15,137.207,-35.819,4405,13.5,"Weight","Conspecific","No island rule","Yes"
"Keast 1968","Australia","Kangaroo","Birds","Passeriformes","Meliphagidae","Phylidonyris pyrrhopterus","Phylidonyris pyrrhopterus","Phylidonyris pyrrhopterus","","Male","Bill length",14.4,15.2,0.37,0.148,7,7,14.4,NA,0.369822485,NA,7,NA,15.2,NA,0.147928994,NA,7,NA,137.207,-35.819,4405,13.5,"log10(mass,g) = -0.868+ 1.922*log10(bill mm), R2 = 0.53","Conspecific","No island rule","Yes"
"Pigot et al. 2020","Cameroon","Bioko","Birds","Passeriformes","Pycnonotidae","Phyllastrephus poensis","Phyllastrephus poensis","Phyllastrephus poensis","Invertebrate","Male","Tarsus Length",23.588,23.6,0.405,0.234,4,4,23.5875,NA,0.404917687,NA,4,NA,23.6,NA,0.233523732,NA,4,NA,8.7,3.5,2017,42,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes"
"Pigot et al. 2020","Cameroon","Bioko","Birds","Passeriformes","Pycnonotidae","Phyllastrephus poensis","Phyllastrephus poensis","Phyllastrephus poensis","Invertebrate","Male","Wing Length",81.375,80,2.287,6.272,4,4,81.375,NA,2.286737122,NA,4,NA,80,NA,6.271629241,NA,4,NA,8.7,3.5,2017,42,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Mageski et al. 2015","Paulo César
Vinha SP (Guarapari, Brazil)","Tres Ilhas (Brazil)","Amphibians","Anura","Hylidae","Phyllodytes luteolus","Phyllodytes luteolus","Phyllodytes luteolus","","Male","SVL",21.4,24.1,1.58,1.144,29,29,21.4,NA,1.58,NA,29,NA,24.1,NA,1.14,NA,29,NA,-40.382,-20.613,0.1,3,"10^-4.462×SVL^3.201 (Hylidae); Santini et al. 2017","Conspecific","Island rule","Yes"
"Pigot et al. 2020","Malaysia","Java","Birds","Passeriformes","Phylloscopidae","Phylloscopus trivirgatus","Phylloscopus trivirgatus","Phylloscopus trivirgatus","Invertebrate","Male","Tarsus Length",19.473,20.165,0.371,0.496,4,4,19.4725,NA,0.371068278,NA,4,NA,20.165,NA,0.496219038,NA,4,NA,107.5667,-6.95,138793.6,340,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes"
"Pigot et al. 2020","Malaysia","Java","Birds","Passeriformes","Phylloscopidae","Phylloscopus trivirgatus","Phylloscopus trivirgatus","Phylloscopus trivirgatus","Invertebrate","Male","Wing Length",56.5,56.75,1.732,2.255,4,4,56.5,NA,1.732050808,NA,4,NA,56.75,NA,2.254624876,NA,4,NA,107.5667,-6.95,138793.6,340,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Struhsaker 2010","Cameroon","Bioko","Mammals","Primata","Cercopithecidae","Piliocolobus preussi","Piliocolobus badius preussi","Piliocolobus badius pennantii","","Both","Skull",106.5,111.25,7.574,NA,4,2,111.5,101.5,9.75,4.43,2,2,117,105.5,NA,NA,1,1,8.7,3.5,2017,42,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)","Conspecific","No island rule","Yes"
"Grant 1965","Nayarit (Mexico)","Tres Marias","Birds","Passeriformes","Cardinalidae","Piranga bidentata","Piranga bidentata","Piranga bidentata","","Both","Wing Length",96.995,95.41,2.684,1.87,48,53,99.27,94.72,2.081,3.479,30,18,97.48,93.34,1.753,2.014,30,23,-106.552,21.609,145.282,87,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Pigot et al. 2020","Venezuela","Trinidad","Birds","Passeriformes","Tyrannidae","Pitangus sulphuratus","Pitangus sulphuratus","Pitangus sulphuratus","Omnivore","Male","Tarsus Length",25.708,26.31,0.873,1.876,4,3,25.7075,NA,0.872978618,NA,4,NA,26.31,NA,1.875659884,NA,3,NA,-61.246,10.431,4828,15,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes"
"Pigot et al. 2020","Venezuela","Trinidad","Birds","Passeriformes","Tyrannidae","Pitangus sulphuratus","Pitangus sulphuratus","Pitangus sulphuratus","Omnivore","Male","Wing Length",108.75,112,5.737,7,4,3,108.75,NA,5.737304826,NA,4,NA,112,NA,7,NA,3,NA,-61.246,10.431,4828,15,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Klauber 1946b","California","San Martin","Reptiles","Squamata","Colubridae","Pituophis catenifer","Pituophis catenifer annectens, affinis, bimaris","Pituophis catenifer fuliginatus","","Unsexed","TL",1734,1180,45.549,311.127,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-116.113,30.488,2.3,5,"LOG10(Weight, g)= LOG10(TL, mm)*2.539-5.548, Feldman et al 2015","Conspecific","No island rule","Yes"
"Klauber 1946b","California","Cedros","Reptiles","Squamata","Colubridae","Pituophis catenifer","Pituophis catenifer annectens, affinis, bimaris","Pituophis catenifer insulanus","","Unsexed","TL",1734,1305,45.549,134.35,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-115.222,28.183,348.295,24,"LOG10(Weight, g)= LOG10(TL, mm)*2.539-5.548, Feldman et al 2015","Conspecific","No island rule","Yes"
"Sparkman et al 2018","Baja California","Santa Cruz","Reptiles","Squamata","Colubridae","Pituophis catenifer","Pituophis catenifer","Pituophis catenifer pumilis","","Both","SVL",836.417,627.96,248.76,102.861,48,45,824.4583333,848.375,210.9044661,281.5719558,24,24,614.4827586,641.4375,93.17212209,118.8522717,29,16,-119.741,33.997,294,30.6,"LOG10(Weight, g)= LOG10(SVL, mm)*2.6279-5.525, Feldman et al 2015","Conspecific","Island rule","Yes"
"Higgins 1999","Vic, SA, Australia","Kangaroo","Birds","Psittaciformes","Psittacidae","Platycercus elegans","Platycercus elegans elegans","Platycercus elegans melanoptera","","Male","Weight",140,137.5,12.51,12.32,28,6,140,NA,12.51,NA,28,NA,137.5,NA,12.32,NA,6,NA,137.207,-35.819,4405,13.5,"Weight","Conspecific","No island rule","Yes"
"Higgins 1999","Vic & NSW, Australia","Tasmania","Birds","Psittaciformes","Psittacidae","Platycercus eximius","Platycercus eximius eximius","Platycercus eximus diemenensis","","Both","Weight",105.9,103.95,6.97,12.256,15,23,108.6,103.2,1.59,8.31,5,10,103.8,104.1,12.88,11.37,13,10,146.5,-42.1,63558.9893,240,"Weight","Conspecific","No island rule","Yes"
"Pigot et al. 2020","Guyana","Tobago","Birds","Passeriformes","Tyrannidae","Platyrinchus mystaceus","Platyrinchus mystaceus","Platyrinchus mystaceus","Invertebrate","Female","Tarsus Length",15.538,16.455,0.879,0.723,4,4,NA,15.5375,NA,0.878839197,NA,4,NA,16.455,NA,0.723348694,NA,4,-60.685,11.241,300,118,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes"
"Pigot et al. 2020","Guyana","Tobago","Birds","Passeriformes","Tyrannidae","Platyrinchus mystaceus","Platyrinchus mystaceus","Platyrinchus mystaceus","Invertebrate","Female","Wing Length",51.25,54.75,0.957,3.304,4,4,NA,51.25,NA,0.957427108,NA,4,NA,54.75,NA,3.304037934,NA,4,-60.685,11.241,300,118,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Shaidani 2017","Maine (USA)","Appledore","Amphibians","Caudata","Plethodontidae","Plethodon cinereus","Plethodon cinereus","Plethodon cinereus","","Both","Weight",0.780204762,0.4965,0.1,NA,210,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-70.614,42.988,0.4,10,"Weight","Conspecific","Island rule","Yes"
"Shaidani 2017","Maine (USA)","Baker Island","Amphibians","Caudata","Plethodontidae","Plethodon cinereus","Plethodon cinereus","Plethodon cinereus","","Both","Weight",0.780204762,1.068,0.1,NA,210,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-68.198,44.2416,0.03,5,"Weight","Conspecific","Island rule","Yes"
"Shaidani 2017","Maine (USA)","Bois Bubert Island","Amphibians","Caudata","Plethodontidae","Plethodon cinereus","Plethodon cinereus","Plethodon cinereus","","Both","Weight",0.780204762,0.9393,0.1,NA,210,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-67.865,44.4367,6,1,"Weight","Conspecific","Island rule","Yes"
"Shaidani 2017","Maine (USA)","Cross Island","Amphibians","Caudata","Plethodontidae","Plethodon cinereus","Plethodon cinereus","Plethodon cinereus","","Both","Weight",0.780204762,1.1655,0.1,NA,210,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-67.2975,44.609,7,1,"Weight","Conspecific","Island rule","Yes"
"Shaidani 2017","Maine (USA)","Crow island","Amphibians","Caudata","Plethodontidae","Plethodon cinereus","Plethodon cinereus","Plethodon cinereus","","Both","Weight",0.780204762,1.1233,0.1,NA,210,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-69.982,43.848,0.05,5,"Weight","Conspecific","Island rule","Yes"
"Shaidani 2017","Maine (USA)","Great Duck island","Amphibians","Caudata","Plethodontidae","Plethodon cinereus","Plethodon cinereus","Plethodon cinereus","","Both","Weight",0.780204762,0.9183,0.1,NA,210,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-68.2498,44.152,0.8,10,"Weight","Conspecific","Island rule","Yes"
"Shaidani 2017","Maine (USA)","Long island","Amphibians","Caudata","Plethodontidae","Plethodon cinereus","Plethodon cinereus","Plethodon cinereus","","Both","Weight",0.780204762,0.676,0.1,NA,210,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-70.16,43.6878,6,5,"Weight","Conspecific","Island rule","Yes"
"Shaidani 2017","Maine (USA)","Matinicus island","Amphibians","Caudata","Plethodontidae","Plethodon cinereus","Plethodon cinereus","Plethodon cinereus","","Both","Weight",0.780204762,1.1138,0.1,NA,210,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-69.892,43.8636,3.25,23,"Weight","Conspecific","Island rule","Yes"
"Shaidani 2017","Maine (USA)","Monhegan Island","Amphibians","Caudata","Plethodontidae","Plethodon cinereus","Plethodon cinereus","Plethodon cinereus","","Both","Weight",0.780204762,0.8483,0.1,NA,210,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-69.312,43.7644,2.5,17,"Weight","Conspecific","Island rule","Yes"
"Shaidani 2017","Maine (USA)","Mount Desert Island","Amphibians","Caudata","Plethodontidae","Plethodon cinereus","Plethodon cinereus","Plethodon cinereus","","Both","Weight",0.780204762,0.9268,0.1,NA,210,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-68.304,44.3875,10,4,"Weight","Conspecific","Island rule","Yes"
"Shaidani 2017","Maine (USA)","Petit Manan Island","Amphibians","Caudata","Plethodontidae","Plethodon cinereus","Plethodon cinereus","Plethodon cinereus","","Both","Weight",0.780204762,1.9231,0.1,NA,210,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-67.8656,44.3674,0.04,4,"Weight","Conspecific","Island rule","Yes"
"Shaidani 2017","Maine (USA)","Placentia Island","Amphibians","Caudata","Plethodontidae","Plethodon cinereus","Plethodon cinereus","Plethodon cinereus","","Both","Weight",0.780204762,0.9662,0.1,NA,210,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-68.3648,44.1917,2,4,"Weight","Conspecific","Island rule","Yes"
"Shaidani 2017","Maine (USA)","Western Brothers Island","Amphibians","Caudata","Plethodontidae","Plethodon cinereus","Plethodon cinereus","Plethodon cinereus","","Both","Weight",0.780204762,1.464,0.1,NA,210,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-69.241,43.912,0.05,5,"Weight","Conspecific","Island rule","Yes"
"Pigot et al. 2020","Cameroon","Bioko","Birds","Passeriformes","Ploceidae","Ploceus albinucha","Ploceus albinucha","Ploceus albinucha","Invertebrate","Male","Tarsus Length",18.54,19.51,0.598,0.208,4,3,18.54,NA,0.597550556,NA,4,NA,19.51,NA,0.20808652,NA,3,NA,8.7,3.5,2017,42,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes"
"Pigot et al. 2020","Cameroon","Bioko","Birds","Passeriformes","Ploceidae","Ploceus albinucha","Ploceus albinucha","Ploceus albinucha","Invertebrate","Male","Wing Length",81.5,79.333,3,0.577,4,3,81.5,NA,3,NA,4,NA,79.33333333,NA,0.577350269,NA,3,NA,8.7,3.5,2017,42,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Pigot et al. 2020","Cameroon","Bioko","Birds","Passeriformes","Ploceidae","Ploceus bicolor","Ploceus bicolor","Ploceus bicolor","Invertebrate","Male","Tarsus Length",23.225,22.297,1.191,0.869,4,3,23.225,NA,1.191231855,NA,4,NA,22.29666667,NA,0.868926541,NA,3,NA,8.7,3.5,2017,42,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes"
"Pigot et al. 2020","Cameroon","Bioko","Birds","Passeriformes","Ploceidae","Ploceus bicolor","Ploceus bicolor","Ploceus bicolor","Invertebrate","Male","Wing Length",82.25,85,2.062,1.732,4,3,82.25,NA,2.061552813,NA,4,NA,85,NA,1.732050808,NA,3,NA,8.7,3.5,2017,42,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Pigot et al. 2020","Cameroon","Bioko","Birds","Passeriformes","Ploceidae","Ploceus cucullatus","Ploceus cucullatus","Ploceus cucullatus","Omnivore","Male","Tarsus Length",24.085,24.508,1.357,0.658,4,4,24.085,NA,1.357288965,NA,4,NA,24.5075,NA,0.658097004,NA,4,NA,8.7,3.5,2017,42,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes"
"Pigot et al. 2020","Cameroon","Bioko","Birds","Passeriformes","Ploceidae","Ploceus cucullatus","Ploceus cucullatus","Ploceus cucullatus","Omnivore","Male","Wing Length",88.75,83.75,3.775,1.708,4,4,88.75,NA,3.774917218,NA,4,NA,83.75,NA,1.707825128,NA,4,NA,8.7,3.5,2017,42,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Pigot et al. 2020","Thailand","Java","Birds","Passeriformes","Ploceidae","Ploceus hypoxanthus","Ploceus hypoxanthus","Ploceus hypoxanthus","PlantSeed","Male","Tarsus Length",20.72,18.333,0.787,0.802,4,3,20.72,NA,0.787019695,NA,4,NA,18.33333333,NA,0.802080628,NA,3,NA,107.5667,-6.95,138793.6,340,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes"
"Pigot et al. 2020","Thailand","Java","Birds","Passeriformes","Ploceidae","Ploceus hypoxanthus","Ploceus hypoxanthus","Ploceus hypoxanthus","PlantSeed","Male","Wing Length",67.75,65.333,2.217,1.155,4,3,67.75,NA,2.217355783,NA,4,NA,65.33333333,NA,1.154700538,NA,3,NA,107.5667,-6.95,138793.6,340,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Pigot et al. 2020","Thailand","Java","Birds","Passeriformes","Ploceidae","Ploceus manyar","Ploceus manyar","Ploceus manyar","PlantSeed","Male","Tarsus Length",20.155,20.733,0.49,0.702,4,3,20.155,NA,0.489659746,NA,4,NA,20.73333333,NA,0.702376917,NA,3,NA,107.5667,-6.95,138793.6,340,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes"
"Pigot et al. 2020","Thailand","Java","Birds","Passeriformes","Ploceidae","Ploceus manyar","Ploceus manyar","Ploceus manyar","PlantSeed","Male","Wing Length",67,69.333,0.816,0.577,4,3,67,NA,0.816496581,NA,4,NA,69.33333333,NA,0.577350269,NA,3,NA,107.5667,-6.95,138793.6,340,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Pigot et al. 2020","Cameroon","Bioko","Birds","Passeriformes","Ploceidae","Ploceus melanogaster","Ploceus melanogaster","Ploceus melanogaster","Invertebrate","Male","Tarsus Length",21.015,21.12,1.381,0.55,4,3,21.015,NA,1.380688234,NA,4,NA,21.12,NA,0.550181788,NA,3,NA,8.7,3.5,2017,42,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes"
"Pigot et al. 2020","Cameroon","Bioko","Birds","Passeriformes","Ploceidae","Ploceus melanogaster","Ploceus melanogaster","Ploceus melanogaster","Invertebrate","Male","Wing Length",68.25,67.667,2.062,1.155,4,3,68.25,NA,2.061552813,NA,4,NA,67.66666667,NA,1.154700538,NA,3,NA,8.7,3.5,2017,42,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Pigot et al. 2020","India","Sri Lanka","Birds","Passeriformes","Ploceidae","Ploceus philippinus","Ploceus philippinus","Ploceus philippinus","PlantSeed","Male","Tarsus Length",20.625,20.46,2.097,0.127,4,4,20.625,NA,2.096624271,NA,4,NA,20.46,NA,0.126754356,NA,4,NA,80.714,7.74,65610,90,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes"
"Pigot et al. 2020","India","Sri Lanka","Birds","Passeriformes","Ploceidae","Ploceus philippinus","Ploceus philippinus","Ploceus philippinus","PlantSeed","Male","Wing Length",72.625,68.75,2.75,2.5,4,4,72.625,NA,2.75,NA,4,NA,68.75,NA,2.5,NA,4,NA,80.714,7.74,65610,90,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Sa-Sousa et al 2000","Portugal (Peniche and Cabo Raso)","Berlenga","Reptiles","Squamata","Lacertidae","Podarcis carbonelli","Podarcis bocagei berlengensis ","Podarcis bocagei berlengensis ","","Both","SVL",53.005,58.655,2.552,3.342,76,36,52.85,53.1592,2.693083734,2.230757329,51,25,61.06,56.25,2.7,4.39,24,12,-9.509,39.415,0.78,10,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","Yes"
"Sa-Sousa and Harris 2002, Luz et al. 2006","Portugal","Berlenga","Reptiles","Squamata","Lacertidae","Podarcis carbonelli","Podarcis carbonelli","Podarcis carbonelli berlengensis","","Both","SVL",50.07,57.035,3.202,2.97,292,69,50.7,49.44,3.24,3.12,199,93,58.6,55.47,3.42,2.42,35,34,-9.509,39.415,0.78,10,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","No"
"Sa-Sousa and Harris 2002, Luz et al. 2006","Portugal","Farilhao Grande","Reptiles","Squamata","Lacertidae","Podarcis carbonelli","Podarcis carbonelli","Podarcis carbonelli berlengensis","","Both","SVL",50.07,65.53,3.202,3.813,292,61,50.7,49.44,3.24,3.12,199,93,68.06,63,4.35,2.93,35,26,-9.545,39.477,0.07,17.4,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Conspecific","Island rule","No"
"Donihue et al. 2016","Naxos","Fidussa","Reptiles","Squamata","Lacertidae","Podarcis erhardii","Podarcis erhardii","Podarcis erhardii","","Both","Weight",9.229,9.728,1.097,0.743,20,32,9.666666667,8.790909091,1.142365966,1.059674049,9,11,10.63529412,8.82,0.86814542,0.56719863,17,15,25.5206,36.847,0.632,0.05,"Weight","Conspecific","Island rule","Yes"
"Donihue et al. 2016","Naxos","Glaronissi","Reptiles","Squamata","Lacertidae","Podarcis erhardii","Podarcis erhardii","Podarcis erhardii","","Both","Weight",9.229,11.704,1.097,1.205,20,49,9.666666667,8.790909091,1.142365966,1.059674049,9,11,12.7,10.70769231,1.340624007,1.070671967,23,26,25.3507,37.0468,0.0102,1.37,"Weight","Conspecific","Island rule","Yes"
"Donihue et al. 2016","Naxos","Gramvoussa","Reptiles","Squamata","Lacertidae","Podarcis erhardii","Podarcis erhardii","Podarcis erhardii","","Both","Weight",9.229,10.48,1.097,0.823,20,25,9.666666667,8.790909091,1.142365966,1.059674049,9,11,11.71666667,9.242857143,0.921794924,0.431497945,18,7,25.7452,36.8071,0.759,0.25,"Weight","Conspecific","Island rule","Yes"
"Donihue et al. 2016","Naxos","Irakleia","Reptiles","Squamata","Lacertidae","Podarcis erhardii","Podarcis erhardii","Podarcis erhardii","","Both","Weight",9.229,10.044,1.097,0.847,20,18,9.666666667,8.790909091,1.142365966,1.059674049,9,11,11.32222222,8.766666667,1.0207568,0.626498204,9,9,25.4513,36.8404,18.078,5.5,"Weight","Conspecific","Island rule","Yes"
"Donihue et al. 2016","Naxos","Kisiri","Reptiles","Squamata","Lacertidae","Podarcis erhardii","Podarcis erhardii","Podarcis erhardii","","Both","Weight",9.229,9.69,1.097,0.542,20,24,9.666666667,8.790909091,1.142365966,1.059674049,9,11,10.45,8.93,0.563983088,0.507827617,14,10,25.7399,36.7907,0.012,0.11,"Weight","Conspecific","Island rule","Yes"
